folder,submitter,file_name
7e512cf5-aee3-414f-b31b-715c5789f556,TCGA-55-1592,6f6bf240-1ca4-47d0-9a77-17b0ce9b8ae7
40489cef-7547-4f6b-bcd1-2b1c69647f0f,TCGA-44-2662,6d614e24-5a82-409e-bb6e-c52c5f53efd5
a063e4ce-4edc-44aa-8c1d-2697743a41c4,TCGA-38-4630,bc037eb7-5afa-4730-b896-23bf21a31641
285e4db6-f0a3-400b-b0d1-e135ad6f63b4,TCGA-44-2665,f7beaa9b-98ae-40bd-aadc-e69688499170
f61f78db-9c76-42f3-8736-bb5f0d3af2bd,TCGA-55-6543,4102816c-2ab8-4ecb-83b0-4f78c052bcd8
88bfd6fa-53ad-44ba-b300-bbdda0eb0361,TCGA-44-2665,77b82c3f-e20c-4e3b-a55c-08af359bbb6e
ecb6ce8b-217c-4ff8-86bc-363c8ab31d96,TCGA-44-2662,883ef55a-e8c0-4774-a298-d2bfeaeeae4b
5cde752d-9c93-4343-bb43-d8b16a998219,TCGA-44-2665,af649713-fb41-496a-a94b-3691d202c1c8
592b37e4-d22c-4eb7-ba17-012e20a79b44,TCGA-67-6216,c208cf0f-3922-4159-a7dd-76dccf9ff396
427826ee-5dc1-420a-b944-8c7b160e043c,TCGA-73-4659,d4422306-b68c-4687-9131-02a60a2d4c42
022f135c-ee34-421c-9ba9-d5d3ca9970af,TCGA-55-8091,32dd8db9-1e43-497e-a35a-664d7d15ed60
a190415b-cdea-43cb-b594-da119145ec48,TCGA-62-A46O,d3ebb2ea-10db-4c29-8e7c-7c13b23b5b15
a8260612-aee6-4ee7-bd1f-cb14584d854a,TCGA-55-A493,f74d61fe-042f-4cfc-a32b-380389629951
172c4587-0f83-4700-9194-99a35d37573d,TCGA-44-2665,2b4652fb-eef5-427e-b4f0-24164c042e52
9472ba8e-af3c-4d0f-9493-ec097f00e302,TCGA-55-7727,59e8b7b7-5183-4655-aa5e-e4b5ba73eded
f616be90-13ee-4368-abce-5a92d139d304,TCGA-44-2662,33e0a8b2-3e7e-46da-b5ef-76463308d3b9
c9b5b697-5941-49ed-9696-54c2b963cb0c,TCGA-67-6215,7a7440bf-1ca1-4c6b-80f8-7151a38e5d18
0ead7361-c61c-4046-a301-937dd264b373,TCGA-86-8278,925a2268-1a0a-402b-8bb1-e6fa32521afe
ea37a038-cb81-47c8-863e-30d64e991b1a,TCGA-44-2662,3d11905a-16eb-40b2-a36b-e37dca6359d3
71953ed0-4b72-4e3b-8a76-53cd262af7f6,TCGA-05-4405,52b34ef3-a814-4aa9-a395-6beea6a71f11
049e44f7-4ad1-467b-9dfe-6f8357b87e75,TCGA-DD-AACS,45209842-481c-487b-bc91-f3f2d0b8564d
5d4d93c9-666a-4924-87c7-9c08974c6352,TCGA-DD-A1EK,df0a6cb8-24c8-4e68-9458-2b76d9f13ee0
a8366672-b7fb-488e-b642-a1c085ce55e0,TCGA-B6-A0RH,d1f7678a-8106-46c9-95b7-5ec5d940f08c
17da161b-90b9-4e1a-91d1-ba397b8d939f,TCGA-EW-A6SB,a455069c-8869-4af8-949c-edfee0a05f51
b1d48dae-59f0-40cb-a40e-b1f1bfbc58b8,TCGA-33-A4WN,4936e396-7bec-4b5b-936a-029889e5d271
f3bee5b5-7923-44a7-a4c3-010b828c712e,TCGA-CJ-4635,33aef257-2e86-4ee3-8d3f-e48ff0e714f3
67917de8-8015-4619-a074-d77ee5b58246,TCGA-A3-A6NL,a1d86150-a5a5-4396-93d1-b1096e2bd53d
cb39365c-689b-439e-82a1-eb06e4dbdef3,TCGA-CJ-5680,2bc0030c-7f9d-47ee-9b0a-82c6bf99192a
056ef6c0-76f3-4328-8a1a-f332233ebe4d,TCGA-BP-4991,470b4dea-6773-4a43-8c72-0ca82fbab681
1b6cd62a-9433-474e-a22a-d40fc07ccbef,TCGA-B0-5691,b25c28e1-8e51-4708-92e7-19f323ff7799
fb5b7d89-acf5-47d8-a4e8-b251411dea79,TCGA-ZS-A9CF,6ae3f7f6-2ee4-4d30-9263-2945905df4eb
7bfda474-ab55-495c-9703-fbc6db1f25af,TCGA-ZS-A9CF,1aebba5f-9fb7-4c40-ade6-7dc6c2960d63
f0d2e0fb-1fa5-40c7-b324-48af8f7171cd,TCGA-G3-AAUZ,2d46de42-03df-475d-9255-d9fc26cfa234
d99163f9-fb9b-4ee3-b47a-f45fd5123e1e,TCGA-DD-A4NA,9a15fd31-f487-4205-adcd-ceb6edd88ea8
796da8ab-26d1-480d-995d-c4ed80444352,TCGA-DD-A73C,f478905e-87fd-42af-b39b-f2358f83dfed
7ba75f09-de21-4695-b584-2e187da2f4da,TCGA-97-8171,98f4637a-4953-4f52-b90a-c768d005a3e7
5dcb3f69-fa64-4cf1-95c2-e3c5b334e8d8,TCGA-69-8255,e40ae18a-9f57-4069-b99f-260c93b52e9f
58984a99-f0ab-4969-8664-42584de67fc6,TCGA-44-4112,f3bf4152-5e1d-42d2-920e-9dfbe2e0dbc5
99f8e7fc-af94-4983-a1e5-815dfaae10f1,TCGA-86-A4P8,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
d0482980-45af-47c7-81a5-8bd1e45bab18,TCGA-69-A59K,00fabec9-d311-4994-a7e5-eb91178d14f2
175dceb6-ee0a-47a0-862e-f28b13dbb813,TCGA-78-7163,0832f2ee-ad00-42c7-8cc3-9c63a7b5cea9
40071499-830d-42b8-9449-eff8e42453fb,TCGA-44-4112,1ca692e6-1dff-4d84-ace1-671bac7b9f61
2f5a0234-0678-45bb-a30e-e4cbef7fe3c5,TCGA-44-4112,9aba4243-1817-4f5f-8e9d-66da98229246
96c0329e-fe51-439e-a150-ff93ce089975,TCGA-80-5608,3b286ed4-51bd-4a1e-9eab-b0ee9adf3b72
7230bb88-2ee4-445f-9a3b-44c8e0be10b4,TCGA-BH-A18U,98b5b7d9-7f5d-48e0-ad50-7b22f379fef6
3d72f003-b174-4726-a728-f4001040241e,TCGA-AN-A0FV,9de4575c-0d10-4548-8881-fd4a5a46a5ac
e003838f-4b1e-4bcb-8208-066441002930,TCGA-A2-A04U,5842a066-d158-474e-a4db-034f5797d865
9e021468-cce1-4b80-97b1-182a2d854d3b,TCGA-EW-A1P3,1100a85c-823d-417b-a764-9282ec8593a5
8e03f0c8-26cb-4ba0-93a6-1d046f85901e,TCGA-A8-A09I,a4455185-5506-4392-bd54-5f9cda2274d2
aefe6701-a6a4-485c-9af5-f5e4d74399bb,TCGA-B6-A0IN,2429f1fd-8612-4944-a405-296a52daec57
82ca218d-a25d-4298-b18b-31ab1e1d034d,TCGA-AO-A03U,341e11ea-c1b6-4d66-999c-76ebb9c8b342
5c259e29-221d-478d-b78d-019ed0dd7b22,TCGA-A2-A0ST,694ca3d8-9748-4c0f-9021-d599d81a325e
e7bf4c52-84b9-426f-a654-0d979fdd9679,TCGA-A8-A08B,6798cbfe-7aca-4f33-b4fc-162bf579a303
ce19e70e-4c06-494c-836d-5f8d7d0c4c11,TCGA-BH-A0DD,fd98106a-a2c6-4f23-86f5-66436c2501e5
3141d5ef-1514-4cc4-bebb-01c5c220e463,TCGA-BH-A0DD,2a612640-5c9e-42b2-ac52-02a44b46d429
2369168f-db8e-47b5-8d9e-99d15db45686,TCGA-BH-A202,2bbbdb50-4486-473c-a158-6b1656bdb242
9b510054-2a80-4ae2-ab33-c46f81661692,TCGA-D8-A13Z,47e6db9a-52b4-4a3b-8c5f-1cb8fa48f7ea
050d5b4b-2434-41ae-9ea7-9818aa1d1ed4,TCGA-A7-A26G,d05914c2-e76a-4050-b0bf-db3a08c1892e
1099bf8a-8d8b-46d6-a64d-b0d14319e9ca,TCGA-C8-A27A,be8e200c-dced-4b24-a70d-6b6baecb7300
5970fce5-4ebe-41e3-b889-183a2a458fcb,TCGA-BH-A0B2,c355cc80-6344-44b2-82e0-79d701fef03c
6ad73a94-eea6-45ec-819f-5dae7e2022b9,TCGA-AO-A12D,e614fbb4-7574-4704-9525-c0aea4c10fc6
17ba70fa-9829-4d53-b921-2350470725a9,TCGA-A2-A04W,0781a18f-ce2a-478f-945e-49b2b8d7d941
73d3594d-5c44-421a-85d5-73f4a7d07a99,TCGA-EW-A1IW,bd5e632d-9a7d-454f-838e-10b76665a4d3
f9426712-2582-4b75-8446-319d1643eda6,TCGA-AR-A254,504f8320-62f8-4205-926a-a54d042d0e98
8e0c39a8-fe34-448e-9454-5492f7982b26,TCGA-C8-A12L,aae57dd0-eae8-48b0-855f-2cd17c9f524d
c3f64823-85a0-4630-ab01-72c1f01813ae,TCGA-BH-A18U,c24618ee-27b7-4760-99d1-fa9b338f05c4
624f7a59-df50-4f50-a486-b63b3454f4de,TCGA-A1-A0SB,36125e17-48fd-4eea-874c-ed2e2e218402
6be65ee2-1e2c-4ebf-8d8a-f317f3fee6a5,TCGA-BH-A0W3,80de2366-cd3c-4b51-9957-06ac3e152cf0
3df13a6e-9cc2-4783-9140-bab35207089a,TCGA-AR-A0TX,6cc59c3f-0de5-4232-ab7a-7195a92e7d89
cb219303-f0b3-4a0b-a213-d592e7c21255,TCGA-AY-6196,59f108c6-677f-4cf2-89fd-6bd15133dd6f
1dda63ca-00b8-4008-a7ea-66537907b1c9,TCGA-CK-5913,4c8b5d7c-d82b-4504-9b9e-3946ca14251e
632deb39-6883-42ce-86e9-ac3b818cd020,TCGA-CK-5916,4db40a0d-ef66-41de-b993-e722581158dc
022b8a58-8a2a-49fe-b898-45676647c4ed,TCGA-RD-A7BT,5cf193ab-5d52-47cb-a515-7855ed1099c7
a6e9e036-ea52-45ee-bced-c512dbd5fcbb,TCGA-VQ-A8DZ,66b4c2a2-5786-4b2e-abc7-374c72f7c53d
faca8218-6fdf-41db-a1ee-5ec5c880a552,TCGA-BR-4357,ff5adae0-cf8d-4ed1-9e5e-03a8bb53688f
e8d6cffd-08a7-4f64-be05-6e159acca791,TCGA-CM-6167,6b32f047-89ca-40e7-950f-a03493ea90c7
54770755-21d5-4896-a95b-80ab81d9fb69,TCGA-A6-6653,fec205e8-388c-47a2-9400-ec9fe2e0fab1
5b7c59a1-dc14-497b-9161-de5206156a39,TCGA-AJ-A3I9,47b71b49-52e7-4044-96e4-cb79775b50ca
31ca86c7-cf34-44b4-a5f8-a2088dc361b0,TCGA-B0-5691,141b1a1a-53ba-4736-a8cb-d599f17370f1
ff21e928-8558-4822-9163-30389d8664cc,TCGA-CJ-5680,12debe80-71c0-43a9-bdf8-a859a57a9638
0ae90006-6868-4d00-a87b-66f3b29fd3f5,TCGA-VQ-A8E2,5f038457-0dc1-4e8c-91f1-9f473454305e
9a9e3fc4-882e-43f1-82be-5d9b052ade3b,TCGA-CD-8533,48e72b16-4249-4e35-94e0-cf96a6c1068a
7b3520e0-cfa3-4ed0-9fc4-5299bd15724f,TCGA-HU-A4HD,dffc091a-cc44-471e-8288-610eb64a809c
4e48caf6-14f8-43d0-b725-f274ebfe412c,TCGA-BR-8080,9c95eb68-acb4-47b6-99d9-13aae921aa35
ee03f9cf-ddd2-47b9-837f-ec7bba21dd86,TCGA-BR-8483,34476788-3d87-46a3-934f-d0e83fc78914
2215480b-eefd-4e94-9da4-059d5045c384,TCGA-A2-A0D4,824f5b0a-44d4-4ccf-9277-1ef752462bb3
98b35832-058e-4ade-8acc-ca5bf6937acb,TCGA-E2-A15A,a6752916-4437-40a7-bc79-d21f52ad1f41
b44f5c94-47e1-4cc0-9a37-059e1853eabb,TCGA-AQ-A04H,be813beb-9b35-4063-9d61-9f49a7fd7706
f7870af6-5b40-46b1-9b26-bb6e8b283a8a,TCGA-A7-A13D,c9f641bc-d9fe-4cd6-8e73-bbf6935aee52
37998f6a-173b-44df-806e-a61469e8ee35,TCGA-EW-A6S9,1c3dbd2f-1c07-48cb-a844-0b1b3eb14e0d
a9c201c7-735a-4660-bf6a-731fa468b6b6,TCGA-A7-A13D,1e742dad-8e44-452a-bf2b-9b8ae1ed8bb2
514abd76-16c9-4250-b5ba-022459a73c7e,TCGA-A7-A13D,d820ac02-a30e-437b-b20a-3e92705b7b81
4086dcb4-8546-485b-93e0-9eb3b50a1d1d,TCGA-A8-A0A7,c7e61a1c-fad6-4fc1-ba1a-49189d4fc0f1
0471af0b-168f-408d-b1ca-283ba95b4f28,TCGA-BH-A18L,815b70e5-858d-416d-94aa-6749960883ce
7a763354-f629-4240-8a4f-62f7ce0faefe,TCGA-A2-A0CY,5e50611e-9e98-480c-bc47-28070e9edeea
94ad3673-042e-488a-b9ca-ff906134dad5,TCGA-LD-A9QF,49563aad-aeb3-4a9b-8849-a60c119cbaa4
5a822083-2800-4d76-a128-bcb73d6c5e0f,TCGA-BH-A18L,9d515fd5-009a-4c32-95e7-042909d70b9f
64d7f017-548a-4cc1-b107-0cd744cde170,TCGA-A2-A3XS,deb14c1d-474c-4d6f-bb8a-2b6df5dce5c9
5a6558f2-952a-4591-a22e-b26107ab3969,TCGA-EW-A1J3,ca05380c-ec64-451e-9834-9a5996017749
9e34777b-941e-43e8-9d49-e615a668ca24,TCGA-C8-A131,a0707dab-b8bd-4a57-a890-69a3f4daacf6
77aeb8c9-b8cc-4f77-b631-4529ccf5ccff,TCGA-C8-A26X,444d0a78-82fe-4a80-9b41-d7daf98506ca
481f9675-ba09-4b8c-bc40-2ec180d4aba6,TCGA-E2-A15A,6c40b30a-d103-4397-997f-9b2bda66793a
aa8124d7-cbe7-4d87-9ffa-0423e79f92a3,TCGA-LD-A7W5,b0a1f575-657f-4277-95dd-0e02e77279fe
41033154-c288-4280-8fb9-e306f22cd03b,TCGA-GI-A2C9,b161c26d-64b1-4e03-94da-4f9b9de25e88
aaf5bbda-9ccf-4451-8988-a47b019e9258,TCGA-GM-A2DL,2e64abe2-6024-4d28-9e09-560ce2a9fd15
bb990c70-f093-4908-a080-c80f317c5133,TCGA-EW-A1PB,62ca3ce8-77f9-4e02-ace4-af79519b53fd
0b0378be-fd57-4389-8fc2-f11bcc1989bd,TCGA-A7-A4SD,9e785594-f00c-4805-8901-66c73fe2588d
c36306db-976d-4e37-aaa9-621104770658,TCGA-GI-A2C9,d83bb114-c175-4fd5-aac0-5dc04b9218b0
9c4fd945-afbc-4aa2-8d98-0cc6daee12e2,TCGA-D8-A1XD,70532e65-df18-4e1d-beaf-08fbf349bec0
ed912348-9611-45ed-aa5a-9dfa585b767d,TCGA-C8-A8HP,a37efe02-9662-4b90-8251-003ccb96aed4
b9051ec1-49f0-4715-9f01-a6f58891c4b5,TCGA-C8-A1HJ,d33cdca5-78ec-4d34-be08-51efd97e8bfb
b59427e6-1ada-4705-b3b5-6437f34ec899,TCGA-C8-A12Q,8b5be676-9118-4038-9d54-6b80b14e43dc
9ba1b623-4786-4958-bc7e-8e7f28ac1e5c,TCGA-A2-A0YG,cc66d11a-33c0-4247-9072-6e7c0d0b6112
00df5b57-a222-4280-898a-deeead081e7c,TCGA-E2-A155,207b5c1c-3710-47bd-be2c-e1307631b28f
84019900-ad7c-4db8-aa92-a8d3181b89a5,TCGA-E2-A574,dbb2f12c-e200-412a-9023-0126d6d69a52
0546e268-7578-45b6-ad79-fa34e9fce7f3,TCGA-A2-A0T3,0b36289c-6835-414d-9f86-4cc4a812af87
cd6723db-0ab5-416e-92cd-a74726a64427,TCGA-DX-A3LY,d7a15e3e-e8fc-4798-8bb8-e48f32ec7f68
b7132cbb-5430-4815-8476-e78327e89070,TCGA-DX-A48J,c0c6f9a6-ee2f-4d04-9021-8fbfbc94503f
c879429c-39bf-4c3c-b71c-ed14d35fc556,TCGA-66-2765,1b0ce868-c996-4684-8385-a6db580c75f5
9f8bcbe0-dfca-4587-830c-4cf1719d11a0,TCGA-77-7142,03f9c75a-109a-4d53-b448-5fa5f294ce90
1bf2b6fc-90b0-40d0-bab9-f4e76bb540ba,TCGA-85-8287,08f92b8f-7cb8-41fd-955c-6482e9641ef8
7e2ef1d2-c3cf-4a06-a043-934b0d09a1d0,TCGA-22-5480,fc7a67a1-4af8-404c-a5fc-631ed33d0b45
d02acb07-4c98-4d37-80da-c962549e63e6,TCGA-39-5024,06a9f429-7bea-4d5e-928f-a8cde8d19aa4
333b1216-f48d-4090-9180-9fd883c9e273,TCGA-22-4607,db34e8d7-edf2-4fb2-a261-75cf0a84e506
1c4df879-d248-4c89-aa39-a5d3c98c4628,TCGA-34-2608,42aeebe7-20fc-463e-84a4-90964a61c5fb
c82a6f89-d4f7-4176-b0d8-22ffbb077c82,TCGA-DX-A3UA,2242b925-b7c5-4420-9cc1-af562a0bafe0
9abb94cf-0bdf-4443-b236-06b642eecf6a,TCGA-3B-A9HO,5c0a368d-18a5-427a-9e6c-ea7afff3cbdd
c9079ceb-b24a-4a9d-96b1-a51f2c54ae35,TCGA-77-7142,2804064e-6c91-4300-a2e6-78c3093413e0
32dba157-546c-4753-bcf8-21c7e1d2cc15,TCGA-22-A5C4,f63b906b-4b3b-4dab-b3f9-210baa574ee5
172aceca-484f-47e5-9b6f-2d207ea1c891,TCGA-2Y-A9H0,6250f43f-aa5e-4382-a359-e90c65d5aec6
ef2b6d09-35ea-4865-ad01-2ee354bc890e,TCGA-ED-A7PX,4e58c985-012a-4846-97f6-80dac0cae0b4
9a27296a-c485-4f34-8f72-9da26715dfdb,TCGA-DD-AACL,82ea8208-db0e-4f7c-ac6b-1b7b48e6d671
c9aa4dca-0a9a-468e-a765-be167ab7e20d,TCGA-BC-A3KG,ea02af31-a02a-457a-acca-6003c8584b2d
17560a9c-d260-4c80-bf76-6cb3d17289c4,TCGA-NJ-A7XG,fbd81adc-aa56-4cde-b1f2-e749e2cbf653
72e892d3-f4fb-46a5-9969-28818de359da,TCGA-55-6986,2fde57cd-97d2-492d-b37d-a4e2d43239cf
c6d8d95d-1655-4c18-9a67-7e61a71e08b6,TCGA-64-1680,8b3aec43-4c75-4598-bf0a-168f7ffb9f3b
b67e0628-925a-4110-9be6-282f80bf1a93,TCGA-91-6835,9343d3bd-0f60-49c3-8625-31a8a7a846c4
4bc3665d-3408-48a0-845f-05f8a60f3c4c,TCGA-91-6835,9ef1e12b-70d8-482c-b75f-6c69afd6e2ff
9678091b-a164-45f1-816c-243aeb4dc0e8,TCGA-55-6986,3db0576d-969f-4cb6-9e5d-51407b953ef4
776f76b2-bda9-4294-9ed8-dbbb497333d6,TCGA-50-8460,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c
9021e936-51cf-407e-9a30-138e88d3fdb1,TCGA-95-7948,5eef868d-7c7f-42e8-aabf-ce3f75405c7a
b62327fd-a2c9-4ed7-9d7b-84674c7e42de,TCGA-69-7979,e25887be-64fe-4e7c-983b-4fbdec52c4b7
3ca1d85e-feca-4cb8-8c75-0c5cb368bc07,TCGA-86-A456,91e79d93-01a8-4908-805a-12678d68a543
37e45db2-4c8f-4da8-95e3-aae3240c9605,TCGA-97-8174,d38959c4-8069-4963-8eca-0c66699df9a7
83a35831-ee54-4173-af18-367ec45a2986,TCGA-86-7954,d0966b4b-6c70-41f6-a220-4bf8be955366
23e1d067-71f8-4149-bfce-1719fdd87912,TCGA-97-8177,4b6c958a-7e20-4b88-b30a-2406b123c8c1
f04e10a6-89d0-4589-9504-76220880dfcc,TCGA-NA-A4QV,f60cab51-b9e1-4473-adf4-c603ae432d8d
6b92e877-5eb8-4e27-9c8b-5791401aa600,TCGA-22-1002,4bb272cb-9d6f-45da-a0fd-9527cdab49c1
b8cc5aeb-5c0f-4342-aa2f-422735049e0a,TCGA-63-7022,eb249bdc-0ba7-4fcd-a1b2-75390102668a
cf20f451-00b7-44ab-95f5-2b1619ec948f,TCGA-92-8065,af4e18e3-b98c-468f-b0d1-643fe3cd3760
e997e513-c860-461c-8bd2-a1c8dcbd6a97,TCGA-66-2786,ce8c79f1-aebf-4824-aa7a-5eb528c7015a
01fd9282-7945-4348-8035-1463c8b0890c,TCGA-96-8169,138a59d3-ccab-4bb2-ae53-c46b1db766a0
135f4224-ac9a-4bb9-8815-b9f332710698,TCGA-60-2706,4e42b890-26e2-4742-ad04-663e7fbc66fa
a66d3614-e8be-42c1-8836-f92135c7a2c4,TCGA-85-8351,1db59c3c-a6f8-4a45-9e1a-82b154577467
